M2,アウター,金ボタンシャギーニットカーディガン,¥15万,"ZOZO-S◎（CENEA¥9,090が金ボタン×シャギーで好調）＋トレンド（テクスチャーリッチ適合度8）",,,
M3,ボトムス,デザイナーズベロアプリーツスカート,¥10万,ZOZO-S○（ベロア急伸＋プリーツ8→12件）＋トレンド（テクスチャーリッチ適合度8）,,,
全品番4軸スコア一覧,,,,,,,
#,アイテム,ランク,ZOZO,楽天,トレンド,自社,合計
S1,フクレジャガードドッキングニット,S,◎,◎,◎,◎,4軸全一致
S2,ニットフレアワンピース,S,◎,◎,◎,◎,4軸全一致
S3,ハイウエストタックパンツ,S,◎,○,◎,◎,3軸◎
A1,シャギーファンネルネックニット,A,◎,◎,◎,○,3軸◎
A2,デニム切替レイヤードカーデ,A,◎,◎,○,△,2軸◎
A3,ニットロングプリーツスカート,A,◎,○,◎,○,2軸◎
A4,ベロアミディワンピース,A,◎,○,◎,○,2軸◎
A5,まよさんコラボニット追加,A,○,◎,○,◎,2軸◎
A6,リバーシブルボアブルゾン,A,◎,○,○,△,1軸◎（ZOZO牽引）
B1,チェック柄シャツワンピース,B,○,—,○,—,テスト枠
B2,フランネルチェックシャツ,B,○,—,○,—,テスト枠
B3,配色ストライプニット,B,—,—,◎,○,トレンド牽引
B4,リブニットタイトスカート,B,◎,—,—,○,ZOZO牽引
B5,裏起毛きれいめスウェット,B,○,◎,—,—,楽天牽引
B6,ニット×チュールセットWP,B,◎,—,—,—,ZOZO牽引
M1,ミドルコート（メーカー）,M,◎,—,○,○,ZOZO牽引
M2,金ボタンシャギーカーデ（メーカー）,M,◎,—,◎,—,ZOZO＋トレンド
M3,ベロアプリーツスカート（メーカー）,M,○,—,◎,—,トレンド牽引
最終チェック：予算検算,,,,,,,
区分,金額,,,,,,
S級 3品番（S1＋S2＋S3）,¥148万,,,,,,
A級 6品番（A1〜A6）,¥172万,,,,,,
B級 6品番（B1〜B6）,¥52万,,,,,,
メーカー仕入れ 3品番（M1〜M3）,¥50万,,,,,,
新作小計,¥422万,,,,,,
再入荷（欠品防止）,¥900万,,,,,,
追加発注プール,¥428万,,,,,,
合計,"¥1,750万",,,,,,
"※フェーズ2準拠：仕入≈COGS≈¥1,750万 ✅ ※新規比率：¥422万÷¥1,750万＝24%。再入荷+プール76%。10月は「既存売れ筋を切らさない」ことが最優先のため、新規は絞って再入荷とプールを厚く確保。",,,,,,,
,,,,,,,
再入荷優先度（¥900万の配分指針）,,,,,,,
優先度,品番,10月販売数,在庫,在庫月数,アクション,,
最優先,nltp400-2509,497枚,0枚,0ヶ月,"即発注。¥8,980×500枚の機会損失が毎月発生中",,
最優先,nltp037-2308,360枚,0枚,0ヶ月,"即発注。レビュー1,034件の超定番。欠品は致命的",,
最優先,nltp370-2507,626枚,96枚,0.15ヶ月,即発注。11月に確実に欠品,,
最優先,nlwp173-2408,236枚,23枚,0.1ヶ月,"即発注。¥9,880の高単価WP。23枚は数日分",,
高,nltp383-2508,"1,958枚",353枚,0.18ヶ月,即発注。10月TOP品番。353枚は1週間分,,
高,nlmwp003-2510,223枚,70枚,0.3ヶ月,まよコラボWP。在庫薄。11月に欠品する,,
高,nlmtp001-2510,442枚,328枚,0.7ヶ月,まよコラボTOP品番。11月分を確保するため追加,,
高,nltp172-2408,628枚,308枚,0.5ヶ月,"¥8,980高単価。11月で在庫切れリスク",,
高,nlbi004-210906,423枚,692枚,1.6ヶ月,在庫は1.6ヶ月分。予約在庫42枚到着で補充,,
中,nltp393-2510,587枚,284枚,0.5ヶ月,11月に欠品リスク。追加検討,,
中,nltp244-2502,823枚,538枚,0.65ヶ月,在庫0.65ヶ月分。11月分を確保,,
中,nlbi005-210904,214枚,79枚,0.37ヶ月,予約在庫49枚到着で128枚になるが薄い,,
低,nl0193-211101,219枚,701枚,3.2ヶ月,在庫充分。追加不要,,
週別投入スケジュール,,,,,,,
週,投入内容,連動施策,,,,,
W1（10/1〜7）,S1（フクレジャガードニット）＋S3（ハイウエストパンツ）,楽天マラソン開始2時間枠にS1配置。メタ広告クリエイティブ同時公開,,,,,
W2（10/8〜14）,S2（ニットWP）＋A1（シャギーニット）＋A2（デニムカーデ）,ZOZO WEEK連動。S2を楽天ROOM広告,,,,,
W3（10/15〜21）,A3（ニットスカート）＋A4（ベロアWP）＋B1〜B3,楽天マラソン2回目にA3・A4を開始2時間枠,,,,,
W4（10/22〜31）,A5（まよコラボ追加）＋A6（ボアブルゾン）＋B4〜B6＋M1〜M3,冬物先行投入（M1ミドルコート）。楽天マラソン3回目,,,,,
